SITEYRID,SurveyVisitID,SurveyPeriod,SurveyDate,StartTime,StopTime,TotalHours,YBCUNum,TimeDetected,DetectionMethod,DetectionType,VocalType,NumCallsResponse,BehObs,Detection_X,Detection_Y,Detection_Lat,Detection_Long,Distance,Bearing,Corrected_X,Corrected_Y,Comments
96,567,4,8/9/2022,6:16,9:05,2.5,3,7:43 AM,P,A,AL,1,ST,455494,3786212,,,69,42,455540,3786263,
96,568,4,8/9/2022,6:16,9:05,2.5,4,7:44 AM,P,A,CN,1,NR,455494,3786212,,,95,61,455577,3786258,
96,569,4,8/9/2022,6:16,9:05,2.5,5,7:44 AM,P,A,CO,1,NR,455494,3786212,,,118,134,455579,3786130,
96,570,4,8/9/2022,6:16,9:05,2.5,6,8:37 AM,P,A,CO,1,NR,455175,3786679,,,44,262,455131,3786673,
96,571,4,8/9/2022,6:16,9:05,2.5,7,8:37 AM,P,A,CO,1,NR,455175,3786679,,,64,253,455114,3786660,
96,572,4,8/9/2022,6:16,9:05,2.5,8,9:09 AM,I,A,CN,NR,NR,454858,3786795,,,66,161,454879,3786733,
96,573,4,8/9/2022,6:16,9:05,2.5,9,9:16 AM,I,A,CN,NR,NR,454858,3786795,,,48,194,454846,3786748,
96,574,4,8/9/2022,6:16,9:05,2.5,10,9:35 AM,I,A,CN,NR,NR,454858,3786795,,,75,118,454924,3786760,
96,575,4,8/9/2022,6:16,9:05,2.5,11,10:20 AM,I,A,"CN, CO",NR,NR,455951,3786300,,,73,337,455922,3786367,
96,576,5,8/23/2022,6:57,9:49,3,1,7:42 AM,P,A,CO,2,NR,456125,3786813,,,70,20,456149,3786879,
96,577,5,8/23/2022,6:57,9:49,3,2,9:10 AM,P,A,CN,4,NR,455101,3786656,,,208,317,454959,3786808,
96,578,5,8/23/2022,6:57,9:49,3,3,10:19 AM,I,A,CN,NR,NR,454858,3786793,,,74,270,454784,3786793,
96,579,5,8/23/2022,6:57,9:49,3,4,10:20 AM,I,A,AL,NR,NR,454858,3786793,,,107,165,454886,3786690,
96,580,5,8/23/2022,6:57,9:49,3,5,10:49 AM,I,A,CN,NR,NR,455041,3786644,,,0,0,455041,3786644,
96,581,5,8/23/2022,6:57,9:49,3,6,10:59 AM,I,B,CN,NR,"ST, FLY",455081,3786597,,,23,347,455076,3786619,
96,582,6,9/7/2022,NR,NR,1.75,1,7:08 AM,P,A,CN,3,NR,456036,3786661,,,50,22,456055,3786707,
96,583,6,9/6/2022,NR,NR,1.75,2,7:56 AM,P,B,CN,1,NR,455197,3786608,,,20,290,455178,3786615,
96,584,6,9/6/2022,NR,NR,1.75,3,8:11 AM,P,A,AL,2,NR,455005,3786781,,,45,152,455026,3786741,
96,585,7,9/21/2022,NR,NR,2.5,1,8:00 AM,P,A,CN,1,NR,455086,3786536,,,50,55,455127,3786565,
96,586,7,9/21/2022,NR,NR,2.5,2,8:06 AM,I,A,VCN,NR,NR,455086,3786536,,,50,140,455118,3786498,
96,587,7,9/26/2022,NR,NR,2.5,3,8:15 AM,P,A,CO,3,NR,456177,3786973,,,94,110,456265,3786941,
96,588,8,10/11/2022,NR,NR,3,1,8:32 AM,P,B,CN,3,FLY,456330,3786764,,,50,250,456283,3486747,
97,589,1,6/24/2022,5:14,7:47,2.55,1,5:37 AM,P,A,CN,0,NV,730430,3730849,,,100,21,730466,3730942,
97,590,1,6/24/2022,5:14,7:47,2.55,2,7:33 AM,P,A,CN,4,NV,730121,3730935,,,55,52,730164,3731969,
97,591,2,7/8/2022,5:28,8:35,3.12,1,6:04 AM,P,B,"CN, CO",3,"FLC, RC",730453,3730933,,,45,346,730442,3730977,
97,592,3,7/22/2022,5:24,7:57,2.55,1,6:51 AM,P,A,CO,2,"NV, RC",729955,3731135,,,120,100,730073,3731114,
97,593,4,8/5/2022,5:41,8:18,2.63,,,,,,,,,,,,,,,,
98,594,1,6/24/2022,5:11,7:23,2.18,1,6:50 AM,P,A,CN,2,NV,729656,3730616,,,90,185,729648,3730526,
98,595,2,7/8/2022,5:26,6:41,1.24,1,6:27 AM,P,A,CN,3,NV,729727,3730614,,,70,223,729679,3730563,
98,596,3,7/22/2022,5:24,7:06,1.69,1,5:26 AM,I,A,CN,0,NV,730161,3730740,,,20,235,730145,3730729,
98,597,3,7/22/2022,5:24,7:06,1.69,2,6:24 AM,P,B,CO,4,"FLY, ST",729731,3730618,,,10,138,729738,3730611,
98,598,4,8/5/2022,5:39,7:12,1.55,,,,,,,,,,,,,,,,
99,599,1,6/24/2022,5:18,7:31,2.23,1,5:46 AM,I,A,OT,0,"NV, VEX",731874,3732011,,,75,307,731814,3732056,
99,600,1,6/24/2022,5:18,7:31,2.23,2,5:53 AM,I,A,CN,0,"NV, VEX",731872,3732010,,,60,30,731902,3732062,
99,601,1,6/24/2022,5:18,7:31,2.23,3,6:24 AM,P,B,CN,1,FLC,731661,3731630,,,35,315,731636,3731655,
99,602,1,6/24/2022,5:18,7:31,2.23,4,6:43 AM,P,A,CN,1,NV,731414,3731838,,,100,205,731372,3731747,
99,603,2,7/8/2022,5:09,7:37,2.46,1,6:14 AM,P,A,CN,1,NV,731660,3731699,,,75,180,731660,3731624,
99,604,2,7/8/2022,5:09,7:37,2.46,2,6:53 AM,P,A,CO,3,NV,731401,3731987,,,130,275,731271,3731998,
99,605,3,7/22/2022,5:33,7:52,2.33,1,6:04 AM,P,A,CN,1,NV,731772,3731997,,,330,160,731885,3731687,
99,606,4,8/5/2022,5:50,7:45,1.92,,,,,,,,,,,,,,,,
100,607,1,6/24/2022,5:22,7:29,2.1,1,7:05 AM,P,A,CN,2,NV,731230,3731404,,,72,254,731161,3731384,
100,608,2,7/8/2022,5:12,7:45,2.55,,,,,,,,,,,,,,,,
100,609,3,7/22/2022,5:19,7:39,2.33,1,6:57 AM,P,A,CN,1,NV,731378,3731111,,,95,302,731297,3731161,
100,610,4,8/5/2022,5:53,7:30,1.62,1,5:57 AM,P,A,CN,1,NV,731051,3730974,,,110,51,731136,3731043,
100,611,4,8/5/2022,5:53,7:30,1.62,2,6:30 AM,P,A,CN,5,NV,731531,3731311,,,160,258,731374,3731278,
101,612,1,6/22/2022,5:21,7:09,1.8,1,5:46 AM,P,B,OT,4,"PA, FLY",732025,3732641,,,10,306,732017,3732647,
101,613,1,6/22/2022,5:21,7:09,1.8,2,6:06 AM,I,A,CO,0,NV,731722,3732821,,,100,204,731681,3732730,
101,614,1,6/22/2022,5:21,7:09,1.8,3,6:27 AM,P,V,NR,5,"PA, FLY",731554,3732460,,,20,50,731569,3732473,
101,615,1,6/22/2022,5:21,7:09,1.8,4,6:42 AM,P,A,CN,1,NV,731294,3732596,,,40,318,731267,3732626,
101,616,2,7/6/2022,5:00,8:14,3.24,1,6:50 AM,P,B,CN,1,FLY,731303,3732726,,,15,70,731317,3732731,
101,617,3,7/20/2022,5:20,9:22,4.03,,,,,,,,,,,,,,,,
101,618,4,8/3/2022,5:42,7:49,2.11,1,5:58 AM,P,A,CN,2,NV,731056,3732649,,,200,60,731229,3732749,
102,619,1,6/22/2022,5:00,8:03,3.06,1,5:25 AM,P,A,CN,0,"NV, NO",731553,3732403,,,35,223,731529,3732377,
102,620,1,6/22/2022,5:00,8:03,3.06,2,5:58 AM,P,A,CN,1,"NV, NO",731557,3732050,,,125,305,731455,3732122,
102,621,1,6/22/2022,5:00,8:03,3.06,3,6:02 AM,P,A,CN,1,"NV, NO",731564,3732055,,,75,106,732636,3732034,
102,622,1,6/22/2022,5:00,8:03,3.06,4,6:55 AM,P,V,NR,5,"PA, FLY",732035,3732297,,,20,220,732022,3732282,
102,623,1,6/22/2022,5:00,8:03,3.06,5,6:57 AM,P,V,NR,5,"PA, FLY",732037,3732302,,,23,222,732022,3732285,
102,624,1,6/22/2022,5:00,8:03,3.06,6,7:35 AM,I,A,CN,0,NV,731211,3732390,,,15,225,731200,3732379,
102,625,2,7/6/2022,5:21,8:16,2.92,1,5:43 AM,P,A,CO,2,NV,731079,3732263,,,100,347,731057,3732360,
102,626,2,7/6/2022,5:21,8:16,2.92,2,6:45 AM,I,A,CN,0,NV,731317,3732268,,,40,109,731355,3732255,
102,627,2,7/6/2022,5:21,8:16,2.92,3,7:10 AM,I,A,CN,0,NV,731556,3732180,,,60,206,731530,3732126,
102,628,2,7/6/2022,5:21,8:16,2.92,4,7:26 AM,I,A,CN,0,NV,731726,3732011,,,50,27,731749,3732056,
102,629,2,7/6/2022,5:21,8:16,2.92,5,7:47 AM,I,A,CO,0,NV,731792,3732242,,,100,261,731693,3732226,
102,630,3,7/20/2022,5:28,8:55,3.46,1,5:34 AM,I,A,CN,0,"NV, RO",731073,3732382,,,45,123,731111,3732357,
102,631,3,7/20/2022,5:28,8:55,3.46,2,6:25 AM,P,A,CN,3,NV,731564,3732012,,,40,234,731532,3731988,
102,632,3,7/20/2022,5:28,8:55,3.46,3,6:33 AM,P,A,AL,3,"NV, VEX",731553,3732008,,,50,272,731503,3732010,
102,633,3,7/20/2022,5:28,8:55,3.46,4,6:46 AM,I,A,AL,0,"NV, VEX",731560,3732113,,,50,9,731568,3732162,
102,634,3,7/20/2022,5:28,8:55,3.46,5,7:05 AM,I,A,CN,0,NV,731553,3732292,,,75,303,731490,3732333,
